district,vci18,ndvi18,vci25,ndvi25,vci_change
Medak,26.939026500080104,0.40343768835166277,46.1368369514307,0.49661591038015684,19.1978104513506
Yadadri Bhuvanagiri,27.840008032830514,0.4062021325239143,48.98818768090197,0.4981472337729397,21.14817964807146
Siddipet,30.418988924289074,0.40935250582277105,50.55070881439914,0.5072540676034714,20.131719890110062
Narayanpet,30.891882866661362,0.3733973264198252,47.92095797123965,0.4546376434866602,17.02907510457829
Sangareddy,30.980430584914416,0.3926609748270208,45.949701424436036,0.4583210942618302,14.96927083952162
Jangoan,31.06222886910241,0.4242868672104965,50.058766172250806,0.514223023868091,18.996537303148397
Mahabubnagar,31.22058722133007,0.3784830352266032,50.768940388467236,0.46811538351893056,19.548353167137165
Rangareddy,31.27192369401682,0.3682592206183904,48.84177053730811,0.442912575431784,17.569846843291288
Rajanna Sircilla,31.680301228599447,0.41531777309461554,49.89791886043856,0.5057017453945737,18.21761763183911
Medchal_Malkajgiri,32.6655375857983,0.35589084340852445,48.31331103615762,0.4084919322144751,15.647773450359324
Kamareddy,33.62142057369168,0.42344745437413644,47.413029315013375,0.4944335272174907,13.791608741321696
Nalgonda,33.780446460981075,0.4040875921659539,50.21392036369952,0.484585488479289,16.433473902718447
Vikarabad,35.60546588709696,0.3985116070591935,48.36912979575641,0.4606015998776185,12.763663908659446
Karimnagar,36.620578610225046,0.43331315942064424,50.09791551462922,0.501174209554855,13.477336904404176
Peddapalli,37.008139736771156,0.43737210884383254,52.770354154103345,0.518751188055783,15.762214417332189
Hyderabad,37.50082364026829,0.24881535707643218,51.6733953796361,0.27986033906603813,14.172571739367811
Warangal_Urban,37.78704073503385,0.4418546791455174,53.23938424190985,0.5165044366561938,15.452343506876005
Suryapet,37.994340509786035,0.456297069733459,48.971564491733,0.5121818626792886,10.977223981946963
Kumurambheem Asifabad,38.013333709965266,0.4381955991973601,53.87877888808,0.527757951269865,15.865445178114733
Nagarkurnool,38.13617494106384,0.36620467939740686,60.41789117538612,0.4697544609015149,22.281716234322275
Mahabubabad,39.00060742100353,0.484986247404133,56.07535898824203,0.5656322907260393,17.0747515672385
Mancherial,39.69050775064863,0.4392992162523094,57.842659076579025,0.5293498377681353,18.152151325930397
Jogulamba Gadwal,39.98424763784696,0.35627577150811196,59.78169696694125,0.44666096301189945,19.797449329094285
Nizamabad,40.33478984599104,0.4344863940782982,51.95278122252847,0.49348920110321054,11.617991376537432
Jagtial,40.507405628868284,0.4654851023909963,53.170395598948964,0.5317904324220432,12.66298997008068
Wanaparthy,40.57565353729977,0.38276064174436786,53.83184346041913,0.44963082891282186,13.256189923119358
Adilabad,41.27294055727049,0.42308853656627365,57.49719007795528,0.5161685754491984,16.224249520684793
Nirmal,41.55651251920595,0.4258425179201429,52.8966285612413,0.48392303820046906,11.340116042035348
Warangal_Rural,43.291395798752326,0.4673012711034574,57.42041686183676,0.5449400976677424,14.129021063084437
Bhadradri Kothagudem,46.30241407394708,0.484932728526577,61.49593288533582,0.5582567077034496,15.193518811388742
Khammam,47.00741317575287,0.5148488449381045,58.15602479181518,0.5656307600661781,11.148611616062304
Jayashankar Bhupalpally,47.52930849884039,0.4661005482343358,61.77399251267088,0.5405721767826305,14.244684013830486
Mulugu,54.542481413652006,0.49540724869750097,63.962965351719234,0.5470713958905078,9.420483938067228
