date,year,month,day,mandal,district,uid,longitude,latitude,area_km2,ndvi_min,ndvi_max,ndvi_mean,ndvi_median,ndvi_count,ndvi_min_env,ndvi_max_env,vci
2018-01-01,2018,1,1,Adilabad Rural,Adilabad,TSSD0006,78.61213171026583,19.6209494404242,296.11,0.25769999623298645,0.5985999703407288,0.43813213641826926,0.4423999786376953,650,0.13192723200871395,0.730155029296875,51.18533538521933
2018-01-01,2018,1,1,Adilabad Urban,Adilabad,TSSD0007,78.53998144645905,19.67118500407631,18.64,0.1738000065088272,0.5170000195503235,0.315077154976981,0.29840001463890076,35,0.09186571666172573,0.5794971466064454,45.77462087309665
2018-01-01,2018,1,1,Bazarhathnoor,Adilabad,TSSD0048,78.37202425339373,19.493387678441206,253.13,0.24160000681877136,0.6940000057220459,0.43630112868088944,0.4378499984741211,520,0.2044594251192533,0.7444823044996995,42.93182981943689
2018-01-01,2018,1,1,Bela,Adilabad,TSSD0052,78.76744522268321,19.687649814358007,252.64,0.09589999914169312,0.6787999868392944,0.47538597149084943,0.4805999994277954,543,0.17432652257424033,0.675067430921242,60.122798816345544
2018-01-01,2018,1,1,Bheempoor,Adilabad,TSSD0060,78.39173134663135,19.806287378808864,195.62,0.22010000050067902,0.5194000005722046,0.3540867169698079,0.35030001401901245,384,0.20054582754770914,0.7542273203531901,27.730905117329012
2018-01-01,2018,1,1,Boath,Adilabad,TSSD0068,78.28359701900277,19.36278209998697,324.19,-0.1445000022649765,0.741599977016449,0.45926506416581536,0.4474000036716461,673,0.17137503092568837,0.737570140549545,50.84643585695795
2018-01-01,2018,1,1,Gadiguda,Adilabad,TSSD0138,78.87141584225664,19.605140183666837,227.73,0.2574999928474426,0.5414999723434448,0.39217203734857353,0.3912999927997589,494,0.24375322473193953,0.7184293801002657,31.267383233410584
2018-01-01,2018,1,1,Gudihathnur,Adilabad,TSSD0160,78.5126965330652,19.524093646138066,159.79,0.24050000309944153,0.682699978351593,0.45182834582382375,0.4424999952316284,356,0.24201489566417222,0.740664621417442,42.076319172281366
2018-01-01,2018,1,1,Ichoda,Adilabad,TSSD0180,78.49476801959692,19.379325379618503,211.85,0.265500009059906,0.7250000238418579,0.4956828241762908,0.49480000138282776,460,0.23950802346934444,0.7569367781929348,49.50919297938795
2018-01-01,2018,1,1,Inderavelly,Adilabad,TSSD0184,78.65171570341961,19.488330764824166,209.33,0.3206000030040741,0.6330999732017517,0.45931470263135304,0.44920000433921814,455,0.19985318026699864,0.7413927686083448,47.91182915344117
2018-01-01,2018,1,1,Jainad,Adilabad,TSSD0190,78.61887990918629,19.741290686067114,292.5,-0.30000001192092896,0.7459999918937683,0.48405475857891617,0.49059998989105225,632,0.09946343868593627,0.681255050852329,66.10465188057518
