district,year,scenario,drought_probability,proj_rainfall_mm,proj_temp_c,proj_spi3,vulnerability,cdsi_mean,data_source,latitude,longitude
Warangal_Urban,2035,SSP5-8.5,0.871,1210.1,27.91,0.317,0.94,0.74,NASA POWER 2000-2024 + IPCC AR6 SSP rates,17.5,79.5
Warangal_Urban,2036,SSP5-8.5,0.873,1217.1,27.95,0.323,0.94,0.742,NASA POWER 2000-2024 + IPCC AR6 SSP rates,17.5,79.5
Warangal_Urban,2037,SSP5-8.5,0.874,1224.1,27.99,0.328,0.94,0.743,NASA POWER 2000-2024 + IPCC AR6 SSP rates,17.5,79.5
Warangal_Urban,2038,SSP5-8.5,0.876,1231.0,28.03,0.334,0.94,0.744,NASA POWER 2000-2024 + IPCC AR6 SSP rates,17.5,79.5
Warangal_Urban,2039,SSP5-8.5,0.877,1238.0,28.07,0.339,0.94,0.746,NASA POWER 2000-2024 + IPCC AR6 SSP rates,17.5,79.5
Warangal_Urban,2040,SSP5-8.5,0.879,1245.0,28.1,0.344,0.94,0.747,NASA POWER 2000-2024 + IPCC AR6 SSP rates,17.5,79.5
Yadadri Bhuvanagiri,2026,SSP2-4.5,0.86,862.4,26.55,-0.047,0.94,0.731,NASA POWER 2000-2024 + IPCC AR6 SSP rates,17.5858,78.959
Yadadri Bhuvanagiri,2027,SSP2-4.5,0.861,862.2,26.58,-0.051,0.94,0.732,NASA POWER 2000-2024 + IPCC AR6 SSP rates,17.5858,78.959
Yadadri Bhuvanagiri,2028,SSP2-4.5,0.863,862.0,26.61,-0.055,0.94,0.733,NASA POWER 2000-2024 + IPCC AR6 SSP rates,17.5858,78.959
Yadadri Bhuvanagiri,2029,SSP2-4.5,0.864,861.7,26.64,-0.059,0.94,0.734,NASA POWER 2000-2024 + IPCC AR6 SSP rates,17.5858,78.959
Yadadri Bhuvanagiri,2030,SSP2-4.5,0.865,861.5,26.68,-0.063,0.94,0.735,NASA POWER 2000-2024 + IPCC AR6 SSP rates,17.5858,78.959
Yadadri Bhuvanagiri,2031,SSP2-4.5,0.866,861.2,26.71,-0.067,0.94,0.736,NASA POWER 2000-2024 + IPCC AR6 SSP rates,17.5858,78.959
Yadadri Bhuvanagiri,2032,SSP2-4.5,0.868,861.0,26.74,-0.071,0.94,0.738,NASA POWER 2000-2024 + IPCC AR6 SSP rates,17.5858,78.959
Yadadri Bhuvanagiri,2033,SSP2-4.5,0.869,860.8,26.77,-0.075,0.94,0.739,NASA POWER 2000-2024 + IPCC AR6 SSP rates,17.5858,78.959
Yadadri Bhuvanagiri,2034,SSP2-4.5,0.87,860.5,26.8,-0.079,0.94,0.74,NASA POWER 2000-2024 + IPCC AR6 SSP rates,17.5858,78.959
Yadadri Bhuvanagiri,2035,SSP2-4.5,0.872,860.3,26.84,-0.083,0.94,0.741,NASA POWER 2000-2024 + IPCC AR6 SSP rates,17.5858,78.959
Yadadri Bhuvanagiri,2036,SSP2-4.5,0.873,860.1,26.87,-0.087,0.94,0.742,NASA POWER 2000-2024 + IPCC AR6 SSP rates,17.5858,78.959
Yadadri Bhuvanagiri,2037,SSP2-4.5,0.874,859.8,26.9,-0.091,0.94,0.743,NASA POWER 2000-2024 + IPCC AR6 SSP rates,17.5858,78.959
Yadadri Bhuvanagiri,2038,SSP2-4.5,0.875,859.6,26.93,-0.095,0.94,0.744,NASA POWER 2000-2024 + IPCC AR6 SSP rates,17.5858,78.959
Yadadri Bhuvanagiri,2039,SSP2-4.5,0.877,859.3,26.96,-0.099,0.94,0.745,NASA POWER 2000-2024 + IPCC AR6 SSP rates,17.5858,78.959
Yadadri Bhuvanagiri,2040,SSP2-4.5,0.878,859.1,27.0,-0.103,0.94,0.746,NASA POWER 2000-2024 + IPCC AR6 SSP rates,17.5858,78.959
Yadadri Bhuvanagiri,2026,SSP5-8.5,0.875,827.2,26.83,-0.131,0.94,0.744,NASA POWER 2000-2024 + IPCC AR6 SSP rates,17.5858,78.959
Yadadri Bhuvanagiri,2027,SSP5-8.5,0.878,824.5,26.88,-0.141,0.94,0.747,NASA POWER 2000-2024 + IPCC AR6 SSP rates,17.5858,78.959
Yadadri Bhuvanagiri,2028,SSP5-8.5,0.881,821.7,26.93,-0.151,0.94,0.749,NASA POWER 2000-2024 + IPCC AR6 SSP rates,17.5858,78.959
Yadadri Bhuvanagiri,2029,SSP5-8.5,0.884,819.0,26.98,-0.161,0.94,0.752,NASA POWER 2000-2024 + IPCC AR6 SSP rates,17.5858,78.959
Yadadri Bhuvanagiri,2030,SSP5-8.5,0.887,816.2,27.04,-0.171,0.94,0.754,NASA POWER 2000-2024 + IPCC AR6 SSP rates,17.5858,78.959
Yadadri Bhuvanagiri,2031,SSP5-8.5,0.891,813.5,27.09,-0.181,0.94,0.757,NASA POWER 2000-2024 + IPCC AR6 SSP rates,17.5858,78.959
Yadadri Bhuvanagiri,2032,SSP5-8.5,0.894,810.7,27.14,-0.191,0.94,0.76,NASA POWER 2000-2024 + IPCC AR6 SSP rates,17.5858,78.959
Yadadri Bhuvanagiri,2033,SSP5-8.5,0.897,807.9,27.19,-0.201,0.94,0.762,NASA POWER 2000-2024 + IPCC AR6 SSP rates,17.5858,78.959
Yadadri Bhuvanagiri,2034,SSP5-8.5,0.9,805.2,27.24,-0.211,0.94,0.765,NASA POWER 2000-2024 + IPCC AR6 SSP rates,17.5858,78.959
Yadadri Bhuvanagiri,2035,SSP5-8.5,0.903,802.4,27.3,-0.221,0.94,0.767,NASA POWER 2000-2024 + IPCC AR6 SSP rates,17.5858,78.959
Yadadri Bhuvanagiri,2036,SSP5-8.5,0.906,799.7,27.35,-0.231,0.94,0.77,NASA POWER 2000-2024 + IPCC AR6 SSP rates,17.5858,78.959
Yadadri Bhuvanagiri,2037,SSP5-8.5,0.909,796.9,27.4,-0.241,0.94,0.773,NASA POWER 2000-2024 + IPCC AR6 SSP rates,17.5858,78.959
Yadadri Bhuvanagiri,2038,SSP5-8.5,0.912,794.2,27.45,-0.251,0.94,0.775,NASA POWER 2000-2024 + IPCC AR6 SSP rates,17.5858,78.959
Yadadri Bhuvanagiri,2039,SSP5-8.5,0.915,791.4,27.5,-0.261,0.94,0.778,NASA POWER 2000-2024 + IPCC AR6 SSP rates,17.5858,78.959
Yadadri Bhuvanagiri,2040,SSP5-8.5,0.918,788.7,27.56,-0.271,0.94,0.78,NASA POWER 2000-2024 + IPCC AR6 SSP rates,17.5858,78.959
