uid,mandal,district,vci
TSSD0343,Munipally,Sangareddy,41.312297683615284
TSSD0344,Munugode,Nalgonda,43.83618780376834
TSSD0345,Mupkal,Nizamabad,59.01126247567583
TSSD0346,Musheerabad,Hyderabad,45.94135848315142
TSSD0347,Mustabad,Rajanna Sircilla,43.9846439031181
TSSD0348,Mutharam_Mahadevpur,Jayashankar Bhupalpally,64.40202543390217
TSSD0349,Mutharam_Manthani,Peddapalli,47.39609971174336
TSSD0350,Nadigudem,Suryapet,43.13001766037335
TSSD0351,Nagalgidda,Sangareddy,48.94684884974954
TSSD0352,Nagaram,Suryapet,43.68456855611843
TSSD0353,Nagi_Reddypet,Kamareddy,53.78531593559355
TSSD0354,Nakrekal,Nalgonda,47.21115335067469
TSSD0355,Nalgonda,Nalgonda,47.93776999099
TSSD0356,Nallabelli,Warangal_Rural,48.15855938313524
TSSD0357,Nampally,Hyderabad,43.822611497504774
TSSD0358,Nampally,Nalgonda,42.09464072698662
TSSD0359,Nandigama,Rangareddy,48.018173160889525
TSSD0360,Nandipet,Nizamabad,51.931658194899626
TSSD0361,Nangnoor,Siddipet,46.74176876347851
TSSD0362,Narayanapoor,Yadadri Bhuvanagiri,42.583339175398095
TSSD0363,Narayankhed,Sangareddy,39.953182498745704
TSSD0364,Narayanpet,Narayanpet,42.97258289634219
TSSD0365,Narketpally,Nalgonda,45.63689202843906
TSSD0366,Narmetta,Jangoan,38.78882171153806
TSSD0367,Narnoor,Adilabad,46.86387691338092
TSSD0368,Narsampet,Warangal_Rural,45.83168604882767
TSSD0369,Narsapur,Medak,36.650898667742716
TSSD0370,Narsapur_G,Nirmal,58.39279174098568
TSSD0371,Narsimhulapet,Mahabubabad,49.524000548440306
TSSD0372,Narsingi,Medak,40.57389953226772
TSSD0373,Narva,Narayanpet,41.26825992200115
TSSD0374,Naspur,Mancherial,48.61278738873281
TSSD0375,Nasurullabad,Kamareddy,43.713409180142385
TSSD0376,Navipet,Nizamabad,44.59528165734525
TSSD0377,Nawabpet,Mahabubnagar,31.896014089893633
TSSD0378,Nawabpet,Vikarabad,42.394181882133964
TSSD0379,Nekkonda,Warangal_Rural,45.615116421272305
TSSD0380,Nelakondapally,Khammam,42.91919707553467
